Celebrity,Known for,Age,Celebrity_BAME,Professional,Series,Place,Dances,Best score,Worst score,Aggregate,Average
Gillian Taylforth,Actress,53,0,Anton du Beke,6,15th/16,1,22,22,22,22
Gary Rhodes,Chef,48,0,Karen Hardy,6,14th/16,2,18,17,35,17.5
Jessie Wallace,Actress,37,0,Darren Bennett,6,13th/16,2,20,19,39,19.5
Don Warrington,Actor,57,1,Lilia Kopylova,6,12th/16,3,30,19,74,24.67
Mark Foster,Olympic swimmer,38,0,Hayley Holt,6,11th/16,4,24,16,79,19.75
Andrew Castle,TV presenter & tennis player,45,0,Ola Jordan,6,10th/16,5,24,17,107,21.4
Heather Small,Singer,43,1,Brian Fortuna,6,9th/16,6,27,23,149,24.83
Cherie Lunghi,Actress,56,0,James Jordan,6,8th/16,7,36,26,227,32.43
John Sergeant,TV presenter,64,0,Kristina Rihanoff,6,7th/16,7,25,12,138,19.71
Jodie Kidd,Model,30,0,Ian Waite,6,6th/16,8,33,22,220,27.5
Christine Bleakley,TV presenter,29,0,Matthew Cutler,6,5th/16,10,34,22,284,28.4
Austin Healey,Rugby player,35,0,Erin Boag,6,4th/16,12,38,29,414,34.5
Lisa Snowdon,TV & radio presenter,36,0,Brendan Cole,6,3rd/16,16,40,22,557,34.81
Rachel Stevens,Singer,30,0,Vincent Simone,6,2nd/16,16,40,30,573,35.81
Tom Chambers,Actor,31,0,Camilla Dallerup,6,1st/16,16,39,28,552,34.5
Martina Hingis,Tennis player,29,0,Matthew Cutler,7,16th/16,2,24,22,46,23
Richard Dunwoody,Jockey,45,0,Lilia Kopylova,7,15th/16,2,19,19,38,19
Rav Wilding,TV presenter,32,1,Aliona Vilani,7,14th/16,3,22,19,61,20.33
Lynda Bellingham,Actress & TV presenter,61,0,Darren Bennett,7,13th/16,4,25,21,93,23.25
Joe Calzaghe,Boxer,37,0,Kristina Rihanoff,7,12th/16,5,21,16,92,18.4
Jo Wood,Model & entrepreneur,54,0,Brendan Cole,7,11th/16,6,23,14,113,18.83
Zoe Lucker,Actress,35,0,James Jordan,7,10th/16,7,33,30,220,31.43
Craig Kelly,Actor,39,0,Flavia Cacace,7,9th/16,8,24,17,168,21
Phil Tufnell,Cricketer,43,0,Katya Virshilas,7,8th/16,9,31,22,240,26.67
Jade Johnson,Olympic long jumper,29,0,Ian Waite,7,7th/16,8,35,25,247,30.88
Ricky Groves,Actor,41,0,Erin Boag,7,6th/16,10,29,21,258,25.8
Natalie Cassidy,Actress,26,0,Vincent Simone,7,5th/16,11,34,24,310,28.18
Laila Rouass,Actress,38,1,Anton du Beke,7,4th/16,13,34,21,362,27.85
Ali Bastian,Actress,27,0,Brian Fortuna,7,3rd/16,15,40,29,512,34.13
Ricky Whittle,Actor,28,0,Natalie Lowe,7,2nd/16,19,40,31,682,35.89
Chris Hollins,TV presenter,38,0,Ola Jordan,7,1st/16,19,40,22,589,31
Goldie,Musician,45,1,Kristina Rihanoff,8,14th/14,2,26,20,46,23
Paul Daniels,Magician,72,0,Ola Jordan,8,13th/14,3,21,16,53,17.67
Peter Shilton,Footballer,61,0,Erin Boag,8,12th/14,4,26,17,81,20.25
Tina O'Brien,Actress,27,0,Jared Murillo,8,11th/14,4,29,24,107,26.75
Jimi Mistry,Actor,37,1,Flavia Cacace,8,10th/14,6,32,25,170,28.33
Michelle Williams,Singer,30,1,Brendan Cole,8,9th/14,7,30,24,184,26.29
Michelle Williams,Singer,30,1,Ian Waite,8,,,,,,
Felicity Kendal,Actress,64,0,Vincent Simone,8,8th/14,8,30,23,217,27.13
Patsy Kensit,Actress,42,0,Robin Windsor,8,7th/14,9,32,22,252,28
Ann Widdecombe,Politician,63,0,Anton du Beke,8,6th/14,10,21,12,162,16.2
Gavin Henson,Rugby player,28,0,Katya Virshilas,8,5th/14,12,33,19,320,26.67
Scott Maslen,Actor,39,0,Natalie Lowe,8,4th/14,12,39,28,402,33.5
Pamela Stephenson,Comedian & psychologist,61,0,James Jordan,8,3rd/14,14,40,27,491,35.07
Matt Baker,TV presenter,32,0,Aliona Vilani,8,2nd/14,16,38,28,548,34.25
Kara Tointon,Actress,27,0,Artem Chigvintsev,8,1st/14,16,39,30,571,35.69
Edwina Currie,Politician,64,0,Vincent Simone,9,14th/14,2,19,17,36,18
Dan Lobb,TV presenter & tennis player,39,0,Katya Virshilas,9,13th/14,3,24,21,69,23
Rory Bremner,Comedian,50,0,Erin Boag,9,12th/14,4,31,22,104,26
Nancy Dell'Olio,Media personality,50,0,Anton du Beke,9,11th/14,5,20,12,78,15.6
Lulu,Singer,63,0,Brendan Cole,9,10th/14,6,29,17,149,24.83
Audley Harrison,Boxer,41,1,Natalie Lowe,9,9th/14,7,27,20,159,22.71
Russell Grant,Astrologer & TV presenter,60,0,Flavia Cacace,9,8th/14,8,28,21,194,24.25
Anita Dobson,Actress,62,0,Robin Windsor,9,7th/14,9,33,27,267,29.67
Anita Dobson,Actress,62,0,Brendan Cole,9,,,,,,
Robbie Savage,Footballer,37,0,Ola Jordan,9,6th/14,10,31,19,272,27.2
Alex Jones,TV presenter,34,0,James Jordan,9,5th/14,12,35,22,364,30.33
Holly Valance,Singer & actress,28,0,Artem Chigvintsev,9,4th/14,12,38,28,394,32.83
Holly Valance,Singer & actress,28,0,Brendan Cole,9,,,,,,
Jason Donovan,Singer & actor,43,0,Kristina Rihanoff,9,3rd/14,14,40,27,487,34.79
Chelsee Healey,Actress,23,1,Pasha Kovalev,9,2nd/14,16,40,27,564,35.25
Harry Judd,Musician,25,0,Aliona Vilani,9,1st/14,16,40,27,570,35.63
Johnny Ball,TV presenter,74,0,Iveta Lukosiute,10,14th/14,2,20,17,37,18.5
Jerry Hall,Model & actress,56,0,Anton du Beke,10,13th/14,3,18,18,54,18
Sid Owen,Actor & singer,40,0,Ola Jordan,10,12th/14,4,26,17,82,20.5
Colin Salmon,Actor,49,1,Kristina Rihanoff,10,11th/14,5,27,23,124,24.8
Fern Britton,TV presenter,55,0,Artem Chigvintsev,10,10th/14,6,27,19,138,23
Richard Arnold,TV presenter,42,0,Erin Boag,10,9th/14,7,29,17,158,22.57
Victoria Pendleton,Olympic cyclist,32,0,Brendan Cole,10,8th/14,8,31,16,193,24.13
Michael Vaughan,Cricketer,38,0,Natalie Lowe,10,7th/14,9,35,15,227,25.22
Nicky Byrne,Singer,34,0,Karen Hauer,10,6th/14,10,36,17,266,26.6
Lisa Riley,Actress & TV presenter,36,0,Robin Windsor,10,5th/14,12,32,25,352,29.33
Dani Harmer,Actress,23,0,Vincent Simone,10,4th/14,14,38,21,458,32.71
Denise van Outen,Actress & TV presenter,38,0,James Jordan,10,=2nd/14,15,40,25,527,35.13
Kimberley Walsh,Singer & actress,31,0,Pasha Kovalev,10,=2nd/14,15,40,26,519,34.6
Louis Smith,Olympic gymnast,23,1,Flavia Cacace,10,1st/14,15,40,27,502,33.46
Tony Jacklin,Golfer,69,0,Aliona Vilani,11,15th/15,2,16,13,29,14.5
Vanessa Feltz,TV & radio presenter,51,0,James Jordan,11,14th/15,3,23,19,62,20.66
Julien Macdonald,Fashion designer,42,0,Janette Manrara,11,13th/15,4,23,18,83,20.75
Deborah Meaden,Businesswoman & TV personality,54,0,Robin Windsor,11,12th/15,5,28,23,126,25.2
Rachel Riley,TV presenter,27,0,Pasha Kovalev,11,11th/15,6,30,20,152,25.33
Dave Myers,Chef & TV presenter,55,0,Karen Hauer,11,10th/15,7,23,16,128,18.29
Fiona Fullerton,Actress,57,0,Anton du Beke,11,9th/15,8,30,22,209,26.13
Ben Cohen,Rugby player,35,0,Kristina Rihanoff,11,8th/15,9,32,19,247,27.44
Mark Benton,Actor,48,0,Iveta Lukosiute,11,7th/15,10,29,22,260,26
Ashley Taylor Dawson,Actor & singer,31,0,Ola Jordan,11,6th/15,11,35,25,358,32.54
Patrick Robinson,Actor,50,1,Anya Garnis,11,5th/15,13,38,27,424,32.61
Sophie Ellis-Bextor,Singer,34,0,Brendan Cole,11,4th/15,15,39,28,500,33.33
Natalie Gumede,Actress,29,1,Artem Chigvintsev,11,=2nd/15,15,40,31,553,36.87
Susanna Reid,TV presenter,43,0,Kevin Clifton,11,=2nd/15,16,39,28,541,33.81
Abbey Clancy,Model & TV presenter,27,0,Aljaž Škorjanec,11,1st/15,16,40,28,570,35.63
Gregg Wallace,Chef & TV presenter,49,0,Aliona Vilani,12,15th/15,2,18,18,36,18
Jennifer Gibney,Actress,50,0,Tristan MacManus,12,14th/15,3,19,18,55,18.33
Tim Wonnacott,TV presenter,63,0,Natalie Lowe,12,13th/15,4,23,17,77,19.25
Thom Evans,Rugby player & model,29,0,Iveta Lukosiute,12,12th/15,5,31,23,136,27.2
Scott Mills,Radio DJ,40,0,Joanne Clifton,12,11th/15,6,21,15,109,18.17
Alison Hammond,TV presenter,39,1,Aljaz Škorjanec,12,10th/15,7,27,21,172,24.57
Judy Murray,Tennis coach,55,0,Anton du Beke,12,9th/15,8,24,17,155,19.38
Steve Backshall,TV presenter & naturalist,41,0,Ola Jordan,12,8th/15,9,31,21,240,26.67
